Suburb,Address,Rooms,Type,Method,SellerG,Date,Distance,Postcode,Bedroom,Bathroom,Car,Landsize,BuildingArea,YearBuilt,CouncilArea,Latitude,Longtitude,Regionname,Propertycount,ParkingArea,Price
Cranbourne,29 Earlston Cct,4,h,S,iTRAK,28/10/2017,34.7,3977.0,4.0,2.0,3.0,4208.0,200.0,1993.0,Casey City Council,-38.12479,145.28744,South-Eastern Metropolitan,7680.0,Parking Pad,910500.0
Templestowe Lower,30 John St,5,h,PI,hockingstuart,1/7/2017,12.4,3107.0,5.0,4.0,2.0,968.0,353,1970.0,Manningham City Council,-37.77083,145.11516,Eastern Metropolitan,5420.0,Detached Garage,1705000.0
Coburg,32 Walsh St,4,h,VB,Nelson,9/12/2017,6.7,3058.0,4.0,2.0,1.0,246.0,133,1910.0,Darebin City Council,-37.74833,144.96891,Northern Metropolitan,11204.0,Attached Garage,900000.0
Balwyn North,57 Cityview Rd,5,h,PI,Noel,7/10/2017,9.7,3104.0,5.0,4.0,4.0,660.0,430,2011.0,Boroondara City Council,-37.78899,145.07913,Southern Metropolitan,7809.0,Indoor,3870000.0
Richmond,35 Shelley St,2,h,S,Biggin,15/10/2016,2.6,3121.0,2.0,1.0,0.0,139.0,54,1920.0,Yarra City Council,-37.8118,144.9937,Northern Metropolitan,14949.0,Outdoor Stall,905000.0
Pascoe Vale,9/12 Pascoe St,2,h,S,D'Aprano,7/5/2016,9.9,3044.0,2.0,1.0,1.0,111.0,67,1987.0,Moreland City Council,-37.7152,144.9349,Northern Metropolitan,7485.0,Indoor,386000.0
Brunswick East,192 Blyth St,3,h,S,Jellis,27/11/2016,4.5,3057.0,3.0,1.0,2.0,812.0,113,1920.0,Moreland City Council,-37.7673,144.9782,Northern Metropolitan,5533.0,Indoor,1600000.0
Essendon,116 Ogilvie St,3,u,S,Brad,24/06/2017,7.5,3040.0,3.0,2.0,1.0,223.0,146,2002.0,Moonee Valley City Council,-37.74566,144.89346,Western Metropolitan,9264.0,Parkade,930000.0
Williamstown,5/77 Dover Rd,2,u,S,RT,14/05/2016,8.0,3016.0,2.0,1.0,1.0,0.0,72,1980.0,Hobsons Bay City Council,-37.8536,144.8981,Western Metropolitan,6380.0,Outdoor Stall,513500.0
Port Melbourne,467 Bay St,2,h,S,Marshall,4/6/2016,3.8,3207.0,2.0,2.0,0.0,96.0,108,1890.0,Melbourne City Council,-37.8327,144.9474,Southern Metropolitan,8648.0,Carport,1000000.0
Glen Waverley,25 Tulloch Gr,5,h,VB,Harcourts,24/02/2018,16.7,3150.0,5.0,2.0,2.0,362.0,195,1990.0,Monash City Council,-37.89877,145.15125,Eastern Metropolitan,15321.0,Parkade,1000000.0
Parkdale,1/168 Beach Rd,4,h,S,Ray,8/7/2017,21.5,3195.0,4.0,2.0,3.0,220.0,213,2010.0,Kingston City Council,-38.00205,145.07853,South-Eastern Metropolitan,5087.0,Underground,2185000.0
Maidstone,1/1 Clarendon St,3,t,S,Biggin,22/04/2017,9.2,3012.0,3.0,2.0,2.0,159.0,128,2016.0,Maribyrnong City Council,-37.785,144.8673,Western Metropolitan,3873.0,Parking Pad,675000.0
Abbotsford,6/205 Gipps St,2,u,S,Biggin,20/05/2017,2.5,3067.0,2.0,2.0,1.0,0.0,86,2013.0,Yarra City Council,-37.8055,144.9961,Northern Metropolitan,4019.0,Underground,870000.0
Williamstown,98 Osborne St,3,h,S,Greg,7/5/2016,8.0,3016.0,3.0,1.0,2.0,373.0,107,1970.0,Hobsons Bay City Council,-37.8661,144.8973,Western Metropolitan,6380.0,Carport,1460000.0
Coburg,69 Victoria St,3,t,PI,C21,29/04/2017,7.8,3058.0,3.0,2.0,2.0,531.0,112.0,2016.0,Darebin City Council,-37.7424,144.9571,Northern Metropolitan,11204.0,Carport,720000.0
Glen Iris,5/31 Yeovil Rd,2,u,S,Marshall,12/8/2017,7.3,3146.0,2.0,1.0,1.0,100.0,87,1960.0,Boroondara City Council,-37.85258,145.08589,Southern Metropolitan,10412.0,Detached Garage,851000.0
Melbourne,2208/380 Little Lonsdale St,1,u,SP,Biggin,8/4/2017,2.8,3000.0,1.0,1.0,0.0,0.0,41,2010.0,Melbourne City Council,-37.8122,144.9582,Northern Metropolitan,17496.0,Indoor,333000.0
Craigieburn,64 Newbury Bvd,4,h,S,Ray,10/3/2018,20.6,3064.0,4.0,2.0,2.0,502.0,229,2010.0,Hume City Council,-37.58047,144.90524,Northern Metropolitan,15510.0,Parking Pad,700000.0
Vermont,1 Bolinda Pl,4,h,VB,Barry,9/12/2017,17.2,3133.0,4.0,2.0,3.0,654.0,270,1985.0,Maroondah City Council,-37.84351,145.19246,Eastern Metropolitan,4181.0,Attached Garage,1160000.0
Thornbury,172A Normanby Av,2,h,S,Love,17/03/2018,7.0,3071.0,2.0,1.0,2.0,166.0,87,1994.0,Darebin City Council,-37.75773,144.98542,Northern Metropolitan,8870.0,Detached Garage,816000.0
Dallas,8 Echuca St,3,h,S,YPA,3/9/2017,14.0,3047.0,3.0,1.0,1.0,627.0,97,1960.0,Hume City Council,-37.66781,144.93809,Northern Metropolitan,2246.0,Detached Garage,477000.0
Brighton East,50 Lucas St,5,h,S,Buxton,12/11/2016,10.7,3187.0,5.0,3.0,2.0,915.0,233,1960.0,Bayside City Council,-37.9231,145.0104,Southern Metropolitan,6938.0,Indoor,2550000.0
Gladstone Park,9 Farley Ct,3,h,S,Ray,17/03/2018,12.9,3043.0,3.0,2.0,1.0,591.0,19,1970.0,Hume City Council,-37.68479,144.89602,Western Metropolitan,3285.0,Indoor,700000.0
Mentone,108 Oak Av,3,t,S,Obrien,3/9/2017,20.0,3194.0,3.0,2.0,2.0,163.0,154,2012.0,Kingston City Council,-37.97459,145.06937,South-Eastern Metropolitan,6162.0,Outdoor Stall,840000.0
Ascot Vale,58 Fenton St,4,h,S,Nelson,14/05/2016,5.9,3032.0,3.0,2.0,2.0,683.0,232,1978.0,Moonee Valley City Council,-37.775,144.932,Western Metropolitan,6567.0,Detached Garage,1340000.0
Ivanhoe,20 Green St,4,h,S,Miles,4/3/2017,7.9,3079.0,4.0,2.0,2.0,925.0,208,1925.0,Banyule City Council,-37.7652,145.041,Eastern Metropolitan,5549.0,Outdoor Stall,2265000.0
Bentleigh,39 Luckins Rd,4,h,PI,Buxton,7/11/2016,13.0,3204.0,4.0,2.0,2.0,697.0,194,1940.0,Glen Eira City Council,-37.9318,145.0474,Southern Metropolitan,6795.0,Indoor,1300000.0
Bentleigh,72 Daley St,4,h,S,hockingstuart,28/08/2016,13.0,3204.0,3.0,1.0,5.0,594.0,150,1940.0,Glen Eira City Council,-37.9206,145.0383,Southern Metropolitan,6795.0,Underground,1281000.0
Canterbury,3 Leeds St,4,h,SA,Kay,12/8/2017,8.4,3126.0,4.0,2.0,2.0,650.0,275,2006.0,Boroondara City Council,-37.83057,145.08482,Southern Metropolitan,3265.0,Carport,2725000.0
Mount Waverley,49 Bruce St,5,h,PI,Jellis,24/02/2018,14.2,3149.0,5.0,2.0,2.0,805.0,255,1994.0,Monash City Council,-37.88192,145.13394,Eastern Metropolitan,13366.0,Indoor,1760000.0
Brighton,10/32 Loller St,2,u,S,RT,22/05/2016,11.2,3186.0,2.0,1.0,1.0,0.0,75,2005.0,Bayside City Council,-37.9156,145.0013,Southern Metropolitan,10579.0,Detached Garage,610000.0
Carlton,2/100 Keppel St,2,t,VB,Nelson,20/05/2017,1.8,3053.0,2.0,2.0,1.0,0.0,90,1860.0,Melbourne City Council,-37.7947,144.9724,Northern Metropolitan,6786.0,Attached Garage,960000.0
Williamstown,104 Hannan St,4,h,S,Sweeney,22/05/2016,8.0,3016.0,4.0,2.0,2.0,648.0,285,2011.0,Hobsons Bay City Council,-37.8601,144.8879,Western Metropolitan,6380.0,Attached Garage,2050000.0
Aberfeldie,2 Derry St,4,h,PI,Nelson,29/04/2017,9.1,3040.0,4.0,2.0,2.0,746.0,161.0,1950.0,Moonee Valley City Council,-37.7595,144.8993,Western Metropolitan,1543.0,Indoor,1740000.0
Moorabbin,3/29 Fiddes St,2,t,S,Buxton,13/05/2017,14.6,3189.0,2.0,1.0,1.0,179.0,101,2001.0,Kingston City Council,-37.9369,145.0473,Southern Metropolitan,2555.0,Carport,742500.0
Templestowe Lower,253 Thompsons Rd,4,h,VB,hockingstuart,13/08/2016,13.8,3107.0,4.0,3.0,2.0,728.0,164,1970.0,Manningham City Council,-37.768,145.1027,Eastern Metropolitan,5420.0,Detached Garage,1000000.0
Carrum Downs,38 Trafford Rd,4,h,S,Harcourts,27/05/2017,34.9,3201.0,4.0,2.0,2.0,550.0,172,2010.0,Frankston City Council,-38.08981,145.17353,South-Eastern Metropolitan,8060.0,Attached Garage,525000.0
Brunswick,75 Rose St,5,h,VB,Nelson,14/10/2017,5.2,3056.0,5.0,3.0,1.0,320.0,176,1920.0,Moreland City Council,-37.75587,144.95246,Northern Metropolitan,11918.0,Outdoor Stall,1150000.0
Cheltenham,30 Nancy St,3,h,SA,Barry,21/10/2017,17.9,3192.0,3.0,1.0,4.0,538.0,169,1970.0,Bayside City Council,-37.97223,145.07895,Southern Metropolitan,9758.0,Parking Pad,965000.0
Coburg North,4 Sharp Gr,2,h,S,Love,8/10/2016,9.2,3058.0,2.0,1.0,2.0,563.0,116,1925.0,Darebin City Council,-37.723,144.96,Northern Metropolitan,3445.0,Carport,765000.0
Windsor,8/9 The Avenue,1,u,S,Buxton,8/7/2017,4.6,3181.0,1.0,1.0,1.0,0.0,51,1960.0,Port Phillip City Council,-37.85687,144.99748,Southern Metropolitan,4380.0,Carport,410000.0
Fawkner,151 McBryde St,3,h,SP,Brad,10/12/2016,12.4,3060.0,3.0,1.0,2.0,720.0,97,1950.0,Hume City Council,-37.7043,144.9769,Northern Metropolitan,5070.0,Carport,640000.0
Balwyn North,15 Ellendale St,3,t,S,Christopher,6/8/2016,9.2,3104.0,3.0,2.0,1.0,207.0,144,2003.0,Boroondara City Council,-37.7893,145.092,Southern Metropolitan,7809.0,Detached Garage,1150000.0
Parkville,152 Park Dr,2,h,S,Collins,15/10/2016,2.6,3052.0,2.0,2.0,1.0,190.0,172,1875.0,Melbourne City Council,-37.7928,144.9575,Northern Metropolitan,2309.0,Indoor,2200000.0
Heidelberg Heights,484 Waterdale Rd,3,h,S,Miles,25/02/2017,10.5,3081.0,3.0,1.0,1.0,748.0,101,1950.0,Banyule City Council,-37.7416,145.0481,Eastern Metropolitan,2947.0,Underground,915000.0
Glen Iris,1/39 Scott Gr,1,u,S,RT,10/12/2016,9.2,3146.0,1.0,1.0,1.0,63.0,52,1980.0,Boroondara City Council,-37.8552,145.05,Southern Metropolitan,10412.0,Underground,452000.0
Kensington,11/33 Rankins Rd,2,u,S,Nelson,13/08/2016,4.2,3031.0,2.0,1.0,2.0,1111.0,92,1998.0,Melbourne City Council,-37.7896,144.9321,Northern Metropolitan,5263.0,Indoor,666000.0
Port Melbourne,83 Evans St,2,h,S,Marshall,29/07/2017,3.5,3207.0,2.0,1.0,0.0,101.0,75.0,1900.0,Melbourne City Council,-37.83446,144.94021,Southern Metropolitan,8648.0,Parkade,1722500.0
Altona,65 Sargood St,3,t,S,hockingstuart,15/07/2017,11.0,3018.0,3.0,2.0,2.0,159.0,130,2014.0,Hobsons Bay City Council,-37.86472,144.82929,Western Metropolitan,5301.0,Carport,815000.0
Kensington,39 Henry St,3,h,S,Jellis,10/12/2016,4.2,3031.0,3.0,1.0,0.0,275.0,120,1900.0,Melbourne City Council,-37.7954,144.9274,Northern Metropolitan,5263.0,Underground,1455000.0
St Kilda,3/33 Robe St,3,u,VB,Castran,4/3/2017,6.1,3182.0,3.0,1.0,1.0,1669.0,176,1920.0,Port Phillip City Council,-37.8646,144.9786,Southern Metropolitan,13240.0,Carport,1500000.0
Strathmore Heights,19A Tasman Av,3,t,VB,Nelson,9/12/2017,8.2,3041.0,3.0,2.0,2.0,306.0,206,2010.0,Moonee Valley City Council,-37.71344,144.89478,Western Metropolitan,389.0,Carport,800000.0
Airport West,1/80 Hawker St,3,t,S,Brad,4/3/2017,13.5,3042.0,3.0,2.0,2.0,239.0,134,2009.0,Moonee Valley City Council,-37.7218,144.8837,Western Metropolitan,3464.0,Attached Garage,700000.0
Eltham,29 Green Pl,4,h,S,Buckingham,10/3/2018,18.0,3095.0,4.0,2.0,1.0,424.0,160,2015.0,Banyule City Council,-37.70693,145.1477,Eastern Metropolitan,6990.0,Parking Pad,1230000.0
Vermont South,3 Ryrie Pl,4,h,S,Barry,11/11/2017,17.2,3133.0,4.0,2.0,2.0,790.0,172,1972.0,Whitehorse City Council,-37.8608,145.1842,Eastern Metropolitan,4280.0,Parking Pad,1320000.0
Prahran,6 Aberdeen Rd,3,h,S,Marshall,19/08/2017,4.6,3181.0,3.0,2.0,1.0,125.0,0,2002.0,Stonnington City Council,-37.85257,145.00296,Southern Metropolitan,7717.0,Carport,1390000.0
Ormond,3/25 Holloway St,3,u,S,hockingstuart,12/11/2016,11.8,3204.0,3.0,2.0,3.0,0.0,93,1970.0,Glen Eira City Council,-37.9018,145.0477,Southern Metropolitan,3578.0,Parkade,822500.0
Fitzroy,130 Gore St,3,h,S,Jellis,3/9/2017,2.1,3065.0,3.0,2.0,1.0,203.0,163,1890.0,Yarra City Council,-37.80475,144.98228,Northern Metropolitan,5825.0,Attached Garage,2300000.0
Kew,49 Princess St,4,h,S,Marshall,30/07/2016,5.6,3101.0,4.0,3.0,2.0,741.0,307.0,1890.0,Boroondara City Council,-37.8043,145.0291,Southern Metropolitan,10331.0,Underground,2250000.0
Footscray,1/30 Pickett St,2,u,PI,Burnham,4/3/2017,6.4,3011.0,2.0,1.0,1.0,47.0,35,2013.0,Maribyrnong City Council,-37.8014,144.8959,Western Metropolitan,7570.0,Attached Garage,305000.0
Craigieburn,15 Eastgate Rd,4,h,S,HAR,9/12/2017,20.6,3064.0,4.0,1.0,1.0,738.0,129,1980.0,Hume City Council,-37.60603,144.941,Northern Metropolitan,15510.0,Carport,515000.0
Oak Park,6 The Avenue,3,u,SP,Barry,8/4/2017,11.5,3046.0,3.0,1.0,2.0,220.0,90,1990.0,Moreland City Council,-37.7131,144.9091,Northern Metropolitan,2651.0,Detached Garage,601000.0
Hawthorn East,8/772 Burwood Rd,2,u,S,Jellis,27/05/2017,6.2,3123.0,2.0,1.0,2.0,966.0,87,1970.0,Boroondara City Council,-37.82524,145.05568,Southern Metropolitan,6482.0,Carport,802500.0
Cheltenham,4 Shelford Ct,4,h,PI,Buxton,9/12/2017,17.9,3192.0,4.0,2.0,2.0,700.0,584,1964.0,Bayside City Council,-37.96841,145.07175,Southern Metropolitan,9758.0,Attached Garage,1150000.0
Glenroy,2/709 Pascoe Vale Rd,3,u,SP,Barry,18/06/2016,13.0,3046.0,3.0,1.0,2.0,187.0,99,2014.0,Moreland City Council,-37.7098,144.9163,Northern Metropolitan,8870.0,Attached Garage,470000.0
Hawthorn East,40 Campbell Gr,3,h,PI,Marshall,17/09/2016,7.5,3123.0,3.0,1.0,2.0,362.0,130,1910.0,Boroondara City Council,-37.8337,145.0504,Southern Metropolitan,6482.0,Indoor,1420000.0
Preston,7 Leicester St,3,h,S,Barry,8/4/2017,8.8,3072.0,3.0,2.0,3.0,604.0,123,1925.0,Darebin City Council,-37.7438,144.9971,Northern Metropolitan,14577.0,Parkade,1121000.0
Upwey,15 Leonard St,5,h,S,Stockdale,10/2/2018,29.3,3158.0,5.0,2.0,3.0,1993.0,195,2009.0,Yarra Ranges Shire Council,-37.9075,145.3198,Eastern Victoria,2591.0,Carport,1075000.0
Parkdale,1/6 Birdwood St,3,t,PI,Hodges,15/07/2017,21.5,3195.0,3.0,2.0,2.0,0.0,131,2013.0,Kingston City Council,-37.99577,145.07215,South-Eastern Metropolitan,5087.0,Parkade,1190000.0
Bentleigh,14 Beths St,4,h,VB,hockingstuart,17/06/2017,11.4,3204.0,4.0,4.0,2.0,673.0,156,1935.0,Glen Eira City Council,-37.91888,145.04775,Southern Metropolitan,6795.0,Carport,2700000.0
Thornbury,1/219 Raleigh St,1,u,SP,Harcourts,14/05/2016,6.5,3071.0,1.0,1.0,1.0,612.0,48,1975.0,Darebin City Council,-37.7603,145.0165,Northern Metropolitan,8870.0,Carport,332000.0
Diamond Creek,17 Wentworth Cl,4,h,SP,Barry,3/9/2017,21.8,3089.0,4.0,2.0,2.0,879.0,235,1995.0,Nillumbik Shire Council,-37.68001,145.16,Northern Victoria,4258.0,Parkade,950000.0
Doncaster East,55 Gedye St,5,h,SP,Barry,10/3/2018,14.3,3109.0,5.0,3.0,2.0,653.0,239,1980.0,Manningham City Council,-37.79751,145.14706,Eastern Metropolitan,10999.0,Outdoor Stall,1200000.0
Heidelberg,57 Martin St,3,h,S,Miles,25/02/2017,10.6,3084.0,3.0,1.0,1.0,639.0,115,1965.0,Banyule City Council,-37.7502,145.0605,Eastern Metropolitan,2890.0,Detached Garage,1375000.0
Melton South,16 Brennan St,3,h,S,Ryder,14/10/2017,29.8,3338.0,3.0,1.0,2.0,605.0,104,1985.0,Melton City Council,-37.70486,144.5728,Western Victoria,4718.0,Indoor,450000.0
St Kilda,10 Charlotte Pl,5,h,S,Marshall,19/11/2016,6.1,3182.0,5.0,4.0,4.0,657.0,312,1900.0,Port Phillip City Council,-37.8582,144.9913,Southern Metropolitan,13240.0,Underground,4400000.0
Oakleigh East,3 McKenzie Ct,2,h,S,Ray,15/07/2017,12.3,3166.0,2.0,1.0,3.0,622.0,122,1970.0,Monash City Council,-37.90168,145.11081,Southern Metropolitan,2547.0,Attached Garage,1150000.0
Elsternwick,30 Shoobra Rd,4,h,PI,Biggin,19/08/2017,7.2,3185.0,4.0,2.0,1.0,390.0,120,1920.0,Glen Eira City Council,-37.88785,145.00795,Southern Metropolitan,4898.0,Outdoor Stall,2410000.0
Seaford,6 Manyung Ct,3,h,S,hockingstuart,9/9/2017,35.4,3198.0,3.0,1.0,1.0,591.0,130,1963.0,Frankston City Council,-38.09864,145.13129,South-Eastern Metropolitan,8077.0,Carport,770000.0
Williamstown,2/29 Dover Rd,1,u,SP,Williams,29/07/2017,6.8,3016.0,1.0,1.0,1.0,0.0,35.64,1967.0,Hobsons Bay City Council,-37.85588,144.89936,Western Metropolitan,6380.0,Attached Garage,385000.0
Murrumbeena,12 Lydson St,3,h,S,hockingstuart,17/06/2017,10.1,3163.0,3.0,1.0,2.0,627.0,132,1930.0,Glen Eira City Council,-37.89561,145.07502,Southern Metropolitan,4442.0,Carport,1561000.0
Greensborough,2/12 William St,2,u,S,Darren,1/7/2017,16.1,3088.0,2.0,2.0,1.0,208.0,107,2000.0,Banyule City Council,-37.70267,145.09526,Northern Metropolitan,8524.0,Underground,695000.0
Balwyn North,1A Abassia St,3,t,S,RT,17/06/2017,9.7,3104.0,3.0,2.0,2.0,292.0,181,2010.0,Boroondara City Council,-37.80259,145.09878,Southern Metropolitan,7809.0,Underground,1557000.0
Travancore,456/38 Mt Alexander Rd,2,u,SP,Pagan,20/05/2017,5.3,3032.0,2.0,1.0,1.0,0.0,51,2010.0,Moonee Valley City Council,-37.7847,144.9383,Western Metropolitan,1052.0,Attached Garage,360000.0
Clayton South,533 Clayton Rd,3,h,SA,Barry,4/11/2017,17.5,3169.0,3.0,1.0,2.0,706.0,124,1960.0,Kingston City Council,-37.9395,145.1168,South-Eastern Metropolitan,4734.0,Indoor,1000000.0
St Kilda,5/18 Marine Pde,2,u,S,Wilson,3/12/2016,6.1,3182.0,2.0,1.0,0.0,0.0,66,1930.0,Port Phillip City Council,-37.8707,144.9765,Southern Metropolitan,13240.0,Attached Garage,602000.0
Hawthorn,5/81 morang Rd,1,u,S,Noel,8/4/2017,4.6,3122.0,1.0,1.0,0.0,0.0,55,1957.0,Boroondara City Council,-37.826,145.0239,Southern Metropolitan,11308.0,Parkade,317500.0
Meadow Heights,11 Hermitage Ct,3,h,S,Stockdale,15/07/2017,17.4,3048.0,3.0,1.0,2.0,798.0,128,1985.0,Hume City Council,-37.65384,144.92272,Northern Metropolitan,4704.0,Indoor,520000.0
Hampton East,68 Spring Rd,3,h,SA,Buxton,12/8/2017,13.8,3188.0,3.0,1.0,1.0,587.0,131,1950.0,Bayside City Council,-37.94087,145.03366,Southern Metropolitan,2356.0,Indoor,1345000.0
Doncaster,3 Hampshire Rd,4,h,PI,Barry,17/06/2017,12.4,3108.0,4.0,2.0,2.0,280.0,200,2008.0,Manningham City Council,-37.79423,145.13696,Eastern Metropolitan,9028.0,Parkade,1120000.0
Port Melbourne,98 Heath St,2,h,S,Marshall,25/02/2017,3.8,3207.0,2.0,1.0,1.0,168.0,102,1934.0,Melbourne City Council,-37.8346,144.9453,Southern Metropolitan,8648.0,Attached Garage,1400000.0
