Suburb,Address,Rooms,Type,Method,SellerG,Date,Distance,Postcode,Bedroom,Bathroom,Car,Landsize,BuildingArea,YearBuilt,CouncilArea,Latitude,Longitude,Regionname,Propertycount,ParkingArea,Price
Balwyn,2/16 Westminster St,2,t,S,Noel,3/9/2016,9.7,3103.0,2.0,1.0,1.0,208.0,129,2000.0,Boroondara City Council,-37.8128,145.0975,Southern Metropolitan,5682.0,Detached Garage,1255000.0
Balwyn North,19 Jacka St,4,h,S,Jellis,3/9/2016,9.2,3104.0,4.0,4.0,3.0,1135.0,275,1960.0,Boroondara City Council,-37.8014,145.0892,Southern Metropolitan,7809.0,Parkade,3230000.0
Bentleigh,5/205 Centre Rd,2,u,S,hockingstuart,3/9/2016,13.0,3204.0,2.0,1.0,2.0,202.0,missing,1974.0,Glen Eira City Council,-37.9165,145.0259,Southern Metropolitan,6795.0,Indoor,636000.0
Bentleigh,1/236 Patterson Rd,3,u,S,hockingstuart,3/9/2016,13.0,3204.0,3.0,1.0,2.0,348.0,121,1950.0,Glen Eira City Council,-37.9273,145.0479,Southern Metropolitan,6795.0,Carport,875000.0
Box Hill,32 Margaret St,4,h,S,hockingstuart,3/9/2016,13.1,3128.0,4.0,2.0,2.0,697.0,255,1940.0,Whitehorse City Council,-37.8151,145.135,Eastern Metropolitan,4605.0,Detached Garage,1620000.0
Braybrook,25 Lily St,2,h,S,Barry,3/9/2016,10.8,3019.0,2.0,1.0,1.0,566.0,75,1950.0,Maribyrnong City Council,-37.7839,144.8524,Western Metropolitan,3589.0,Carport,645000.0
Brighton,18 Rooding St,3,h,S,Buxton,3/9/2016,11.2,3186.0,3.0,1.0,2.0,366.0,156,1920.0,Bayside City Council,-37.9038,145.0001,Southern Metropolitan,10579.0,Indoor,1635000.0
Brighton East,7 Balfour St,4,h,S,hockingstuart,3/9/2016,10.7,3187.0,4.0,2.0,2.0,682.0,240,1960.0,Bayside City Council,-37.9205,145.0122,Southern Metropolitan,6938.0,Carport,1940000.0
Brighton East,4 Marriage Rd,4,h,S,Nick,3/9/2016,10.7,3187.0,4.0,2.0,2.0,617.0,268,1940.0,Bayside City Council,-37.9187,145.007,Southern Metropolitan,6938.0,Attached Garage,1850000.0
Brighton East,244a South Rd,3,h,SP,Marshall,3/9/2016,10.7,3187.0,3.0,1.0,1.0,329.0,117,1930.0,Bayside City Council,-37.9317,145.0218,Southern Metropolitan,6938.0,Detached Garage,930000.0
Brunswick West,8/7 Passfield St,2,u,S,Peter,3/9/2016,5.9,3055.0,2.0,1.0,1.0,0.0,69,1960.0,Moreland City Council,-37.768,144.9408,Northern Metropolitan,7082.0,Outdoor Stall,521500.0
Bulleen,19a Elizabeth St,3,u,S,Jellis,3/9/2016,11.8,3105.0,3.0,1.0,2.0,385.0,140,2000.0,Manningham City Council,-37.7599,145.0849,Eastern Metropolitan,4480.0,Parking Pad,851000.0
Bulleen,42 Robert St,4,h,S,Jellis,3/9/2016,11.8,3105.0,4.0,1.0,2.0,717.0,180,1960.0,Manningham City Council,-37.7608,145.0862,Eastern Metropolitan,4480.0,Carport,1300000.0
Burwood,15 Loudon Rd,5,h,S,Jellis,3/9/2016,11.7,3125.0,4.0,3.0,2.0,661.0,253,1940.0,Monash City Council,-37.848,145.098,Southern Metropolitan,5678.0,Indoor,1590000.0
Camberwell,28 Brinsley Rd,4,h,S,Jellis,3/9/2016,7.8,3124.0,4.0,2.0,1.0,652.0,189,1890.0,Boroondara City Council,-37.8286,145.0686,Southern Metropolitan,8920.0,Parkade,2650000.0
Canterbury,18 Irilbarra Rd,4,h,S,Marshall,3/9/2016,9.0,3126.0,4.0,2.0,2.0,687.0,215,1935.0,Boroondara City Council,-37.8186,145.0706,Southern Metropolitan,3265.0,Carport,2950000.0
Carnegie,1/70 Truganini Rd,2,t,S,Gary,3/9/2016,11.4,3163.0,2.0,2.0,1.0,133.0,104,2009.0,Glen Eira City Council,-37.8911,145.0539,Southern Metropolitan,7822.0,Parkade,795000.0
Caulfield,6/5 Freeman St,2,u,S,Gary,3/9/2016,8.9,3162.0,2.0,1.0,1.0,0.0,100,1960.0,Glen Eira City Council,-37.8865,145.0302,Southern Metropolitan,2379.0,Underground,722500.0
Caulfield South,26 Flowers St,3,h,S,hockingstuart,3/9/2016,9.3,3162.0,3.0,2.0,2.0,357.0,144,1935.0,Glen Eira City Council,-37.8896,145.0307,Southern Metropolitan,5051.0,Indoor,1577500.0
Coburg,29 Molesworth St,2,h,SP,Brad,3/9/2016,7.8,3058.0,2.0,1.0,1.0,371.0,93,1930.0,Darebin City Council,-37.735,144.9589,Northern Metropolitan,11204.0,Outdoor Stall,850000.0
Coburg,10 Shackell St,3,h,S,Nelson,3/9/2016,7.8,3058.0,2.0,1.0,1.0,286.0,110,1890.0,Darebin City Council,-37.7427,144.952,Northern Metropolitan,11204.0,Attached Garage,784000.0
Collingwood,10/79 Oxford St,2,u,S,Jellis,3/9/2016,1.6,3066.0,2.0,1.0,1.0,0.0,129,1900.0,Yarra City Council,-37.8042,144.9845,Northern Metropolitan,4553.0,Detached Garage,1260000.0
Elsternwick,30 Ross St,2,h,VB,Gary,3/9/2016,8.5,3185.0,2.0,1.0,2.0,239.0,110,1940.0,Glen Eira City Council,-37.8845,144.999,Southern Metropolitan,4898.0,Carport,900000.0
Elwood,8/44 Southey St,1,u,S,Chisholm,3/9/2016,7.7,3184.0,1.0,1.0,1.0,0.0,51,1930.0,Port Phillip City Council,-37.8761,144.9871,Southern Metropolitan,8989.0,Attached Garage,520000.0
Essendon,6 Buckley St,3,h,S,Jellis,3/9/2016,8.0,3040.0,3.0,2.0,2.0,684.0,147,1950.0,Moonee Valley City Council,-37.7585,144.9317,Western Metropolitan,9264.0,Parkade,1425000.0
Essendon,1/28 Gilbertson St,2,u,S,Barry,3/9/2016,8.0,3040.0,2.0,1.0,1.0,263.0,113,1980.0,Moonee Valley City Council,-37.7418,144.8977,Western Metropolitan,9264.0,Underground,660000.0
Essendon,3/85 Tennyson St,2,u,VB,Nelson,3/9/2016,8.0,3040.0,2.0,1.0,1.0,0.0,83,1980.0,Moonee Valley City Council,-37.7575,144.9298,Western Metropolitan,9264.0,Outdoor Stall,550000.0
Essendon North,2/17 Bulla Rd,2,u,S,Barry,3/9/2016,9.4,3041.0,2.0,1.0,1.0,0.0,56,1975.0,Moonee Valley City Council,-37.7428,144.9086,Western Metropolitan,1308.0,Carport,396000.0
Fairfield,150 Gillies St,3,h,VB,Jellis,3/9/2016,5.8,3078.0,3.0,2.0,0.0,327.0,144,1910.0,Darebin City Council,-37.7723,145.0179,Northern Metropolitan,2970.0,Detached Garage,1250000.0
Fitzroy,3/18 Hanover St,3,h,S,Nelson,3/9/2016,1.6,3065.0,3.0,2.0,2.0,0.0,137,2004.0,Yarra City Council,-37.8029,144.975,Northern Metropolitan,5825.0,Carport,1252000.0
Fitzroy North,233/4 Bik La,2,u,SP,Woodards,3/9/2016,3.5,3068.0,2.0,2.0,1.0,4332.0,85,2010.0,Moreland City Council,-37.7846,144.9785,Northern Metropolitan,6244.0,Detached Garage,700000.0
Fitzroy North,470 Brunswick St,2,h,S,Woodards,3/9/2016,3.5,3068.0,2.0,1.0,0.0,104.0,70,1880.0,Moreland City Council,-37.7927,144.9796,Northern Metropolitan,6244.0,Attached Garage,860000.0
Fitzroy North,50 Freeman St,2,h,S,Nelson,3/9/2016,3.5,3068.0,2.0,1.0,0.0,107.0,64,1910.0,Moreland City Council,-37.7898,144.9794,Northern Metropolitan,6244.0,Indoor,870000.0
Fitzroy North,2 Pilkington St,4,h,VB,Nelson,3/9/2016,3.5,3068.0,4.0,2.0,1.0,266.0,175,1950.0,Moreland City Council,-37.7797,144.9861,Northern Metropolitan,6244.0,Carport,1450000.0
Glen Iris,6 Beatrice St,3,h,S,hockingstuart,3/9/2016,9.2,3146.0,3.0,2.0,3.0,680.0,170,1935.0,Boroondara City Council,-37.854,145.0832,Southern Metropolitan,10412.0,Attached Garage,1735000.0
Glen Iris,11 Vincent St,4,h,VB,Kay,3/9/2016,9.2,3146.0,4.0,3.0,2.0,856.0,265,1920.0,Boroondara City Council,-37.8628,145.0436,Southern Metropolitan,10412.0,Outdoor Stall,3400000.0
Glen Iris,2 Vincent St,5,h,PI,Abercromby's,3/9/2016,9.2,3146.0,4.0,3.0,2.0,919.0,353,1925.0,Boroondara City Council,-37.8637,145.0438,Southern Metropolitan,10412.0,Parking Pad,3730000.0
Glenroy,89 John St,3,h,S,Ray,3/9/2016,13.0,3046.0,3.0,1.0,2.0,696.0,118,1960.0,Moreland City Council,-37.6972,144.9431,Northern Metropolitan,8870.0,Detached Garage,610000.0
Gowanbrae,1 Gowanbrae Dr,3,h,S,Nelson,3/9/2016,13.6,3043.0,3.0,2.0,2.0,608.0,138,2001.0,Moreland City Council,-37.709,144.8925,Western Metropolitan,1071.0,Outdoor Stall,631000.0
Gowanbrae,31 Seggan Cir,3,t,S,Nelson,3/9/2016,13.6,3043.0,3.0,2.0,1.0,149.0,19,2005.0,Moreland City Council,-37.7068,144.8963,Western Metropolitan,1071.0,Parking Pad,532000.0
Hadfield,20 Bedford St,3,h,PI,hockingstuart,3/9/2016,12.1,3046.0,3.0,1.0,2.0,597.0,116,1960.0,Moreland City Council,-37.711,144.9478,Northern Metropolitan,2606.0,Carport,605000.0
Hadfield,29 Sutherland St,3,h,SP,Brad,3/9/2016,12.1,3046.0,3.0,1.0,2.0,724.0,103,1970.0,Moreland City Council,-37.7076,144.9481,Northern Metropolitan,2606.0,Attached Garage,685500.0
Hampton,1/30 Grenville St,2,u,S,hockingstuart,3/9/2016,13.7,3188.0,2.0,1.0,1.0,228.0,87,1975.0,Bayside City Council,-37.9355,145.0008,Southern Metropolitan,5454.0,Indoor,895000.0
Hampton,38 Myrtle Rd,4,h,S,Nick,3/9/2016,13.7,3188.0,3.0,3.0,2.0,701.0,320,2015.0,Bayside City Council,-37.9419,145.0152,Southern Metropolitan,5454.0,Underground,2800000.0
Hampton,36 Thomas St,4,h,S,hockingstuart,3/9/2016,13.7,3188.0,4.0,3.0,2.0,928.0,300,1904.0,Bayside City Council,-37.9389,145.0062,Southern Metropolitan,5454.0,Detached Garage,3250000.0
Hawthorn,6a Scott St,4,h,PI,Jellis,3/9/2016,4.6,3122.0,4.0,2.0,2.0,317.0,210,2005.0,Boroondara City Council,-37.8344,145.0422,Southern Metropolitan,11308.0,Carport,1650000.0
Heidelberg Heights,97 Edwin St,2,h,SP,Fletchers,3/9/2016,10.5,3081.0,2.0,1.0,2.0,589.0,120,1930.0,Banyule City Council,-37.7501,145.0505,Eastern Metropolitan,2947.0,Detached Garage,815000.0
Heidelberg West,23 Redwood St,3,h,S,Haughton,3/9/2016,9.4,3081.0,2.0,1.0,2.0,624.0,86,1965.0,Banyule City Council,-37.7456,145.0397,Eastern Metropolitan,2674.0,Parkade,691000.0
Hughesdale,18 Paget St,2,h,S,Woodards,3/9/2016,13.0,3166.0,2.0,1.0,1.0,732.0,97,1950.0,Monash City Council,-37.8931,145.0791,Southern Metropolitan,3145.0,Outdoor Stall,1550000.0
Keilor East,16 Border Dr,3,h,S,Nelson,3/9/2016,12.8,3033.0,3.0,2.0,2.0,683.0,200,1995.0,Brimbank City Council,-37.7402,144.8591,Western Metropolitan,5629.0,Indoor,703000.0
Keilor East,121 Sterling Dr,3,h,SP,Barry,3/9/2016,12.8,3033.0,3.0,1.0,1.0,538.0,104,1970.0,Brimbank City Council,-37.7441,144.8503,Western Metropolitan,5629.0,Carport,650000.0
Kensington,65 Gatehouse Dr,3,h,S,Nelson,3/9/2016,4.2,3031.0,3.0,1.0,1.0,166.0,138,2000.0,Melbourne City Council,-37.7929,144.9197,Northern Metropolitan,5263.0,Attached Garage,852000.0
Kensington,35 Henry St,3,h,S,Rendina,3/9/2016,4.2,3031.0,3.0,1.0,1.0,188.0,106,1910.0,Melbourne City Council,-37.7953,144.9275,Northern Metropolitan,5263.0,Indoor,1037000.0
Maidstone,27 Dunedin St,3,h,S,Burnham,3/9/2016,9.2,3012.0,3.0,1.0,1.0,576.0,128,1970.0,Maribyrnong City Council,-37.7808,144.8678,Western Metropolitan,3873.0,Detached Garage,715000.0
Maidstone,32 Ringtail Cct,4,h,S,Rendina,3/9/2016,9.2,3012.0,4.0,2.0,2.0,308.0,185,2012.0,Maribyrnong City Council,-37.7833,144.8817,Western Metropolitan,3873.0,Indoor,826000.0
Malvern East,1/13 Goode St,3,h,S,Marshall,3/9/2016,11.2,3145.0,3.0,2.0,1.0,337.0,146,1993.0,Stonnington City Council,-37.8833,145.0697,Southern Metropolitan,8801.0,Carport,1210000.0
Middle Park,277 Danks St,3,h,VB,Cayzer,3/9/2016,4.1,3206.0,3.0,1.0,1.0,279.0,133,1900.0,Port Phillip City Council,-37.8499,144.957,Southern Metropolitan,2019.0,Attached Garage,2600000.0
Mont Albert,371 Elgar Rd,2,h,SP,Lindellas,3/9/2016,11.8,3127.0,2.0,1.0,1.0,613.0,115,1950.0,Boroondara City Council,-37.8238,145.1135,Eastern Metropolitan,2079.0,Parkade,1320000.0
Moonee Ponds,504/26 Shuter St,3,u,S,Nelson,3/9/2016,6.9,3039.0,3.0,2.0,2.0,0.0,120,2000.0,Moonee Valley City Council,-37.7672,144.9209,Western Metropolitan,6232.0,Outdoor Stall,670000.0
Moorabbin,21 Fiddes St,3,h,S,Buxton,3/9/2016,14.6,3189.0,3.0,1.0,3.0,834.0,143,1960.0,Kingston City Council,-37.9376,145.0474,Southern Metropolitan,2555.0,Parking Pad,1224000.0
Moorabbin,19 Hamer St,3,h,S,O'Brien,3/9/2016,14.6,3189.0,3.0,2.0,2.0,573.0,150,1970.0,Kingston City Council,-37.9428,145.044,Southern Metropolitan,2555.0,Detached Garage,1000000.0
Niddrie,28 Coghlan St,3,t,S,Barry,3/9/2016,11.2,3042.0,3.0,3.0,2.0,303.0,236,2013.0,Moonee Valley City Council,-37.742,144.8885,Western Metropolitan,2291.0,Underground,830000.0
North Melbourne,10 Canning St,4,h,S,Nelson,3/9/2016,2.3,3051.0,4.0,3.0,4.0,310.0,276,1880.0,Melbourne City Council,-37.7958,144.944,Northern Metropolitan,6821.0,Attached Garage,2920000.0
Northcote,43 Christmas St,2,h,S,McGrath,3/9/2016,5.5,3070.0,2.0,1.0,1.0,245.0,108,1890.0,Darebin City Council,-37.7662,145.0096,Northern Metropolitan,11364.0,Underground,1286000.0
Northcote,30 Clarke St,3,h,S,Nelson,3/9/2016,5.5,3070.0,3.0,1.0,1.0,215.0,125,1920.0,Darebin City Council,-37.7759,144.9909,Northern Metropolitan,11364.0,Carport,1200000.0
Northcote,57A Derby St,3,h,SA,Nelson,3/9/2016,5.5,3070.0,3.0,2.0,2.0,286.0,188,2007.0,Darebin City Council,-37.7708,145.0054,Northern Metropolitan,11364.0,Detached Garage,1382500.0
Northcote,24 Jessie St,4,h,VB,Jellis,3/9/2016,5.5,3070.0,4.0,2.0,1.0,464.0,179,1910.0,Darebin City Council,-37.7805,145.004,Northern Metropolitan,11364.0,Indoor,1600000.0
Parkville,50 Strickland Rd,4,h,S,Nelson,3/9/2016,2.6,3052.0,4.0,2.0,2.0,357.0,249,2009.0,Melbourne City Council,-37.7767,144.9403,Northern Metropolitan,2309.0,Outdoor Stall,1230000.0
Prahran,13/37 Greville St,1,u,S,hockingstuart,3/9/2016,4.5,3181.0,1.0,1.0,1.0,0.0,34,1960.0,Stonnington City Council,-37.8486,144.9872,Southern Metropolitan,7717.0,Detached Garage,342000.0
Prahran,20a Percy St,2,h,PI,hockingstuart,3/9/2016,4.5,3181.0,2.0,1.0,1.0,88.0,121,2000.0,Stonnington City Council,-37.8503,144.9913,Southern Metropolitan,7717.0,Carport,950000.0
Prahran,3/122 Williams Rd,2,u,S,Wilson,3/9/2016,4.5,3181.0,2.0,1.0,1.0,0.0,73,1930.0,Stonnington City Council,-37.8511,145.0029,Southern Metropolitan,7717.0,Detached Garage,781000.0
Preston,370 Gilbert Rd,4,h,S,Ray,3/9/2016,8.8,3072.0,4.0,2.0,2.0,604.0,180,1920.0,Darebin City Council,-37.7369,144.9905,Northern Metropolitan,14577.0,Parkade,930000.0
Reservoir,1/21 Dumbarton St,3,u,S,Ray,3/9/2016,11.2,3073.0,3.0,1.0,1.0,191.0,107,1990.0,Darebin City Council,-37.7019,145.0256,Northern Metropolitan,21650.0,Detached Garage,475000.0
Reservoir,1/147 Purinuan Rd,2,u,PI,Ray,3/9/2016,11.2,3073.0,2.0,1.0,1.0,189.0,84,2012.0,Darebin City Council,-37.708,145.0181,Northern Metropolitan,21650.0,Attached Garage,415000.0
Richmond,24 Butler St,2,h,S,Biggin,3/9/2016,2.6,3121.0,2.0,1.0,1.0,125.0,103,1950.0,Yarra City Council,-37.8106,144.994,Northern Metropolitan,14949.0,Carport,937000.0
Richmond,6/25 River St,2,u,S,hockingstuart,3/9/2016,2.6,3121.0,2.0,1.0,2.0,0.0,85,1997.0,Yarra City Council,-37.8164,145.0136,Northern Metropolitan,14949.0,Underground,795250.0
Richmond,29/9 Tennyson St,2,u,S,Biggin,3/9/2016,2.6,3121.0,2.0,1.0,1.0,0.0,75,2001.0,Yarra City Council,-37.824,144.9918,Northern Metropolitan,14949.0,Outdoor Stall,582000.0
Rosanna,20 Rowell St,5,h,S,Nelson,3/9/2016,11.4,3084.0,4.0,2.0,1.0,629.0,207,1960.0,Banyule City Council,-37.7395,145.0773,Eastern Metropolitan,3540.0,Attached Garage,1101500.0
Seddon,56 Hamilton St,3,h,S,Burnham,3/9/2016,6.6,3011.0,3.0,1.0,1.0,350.0,116,1890.0,Maribyrnong City Council,-37.8094,144.8869,Western Metropolitan,2417.0,Indoor,1145000.0
South Melbourne,806/50 Albert Rd,2,u,S,Dingle,3/9/2016,2.1,3205.0,2.0,2.0,1.0,0.0,83,2012.0,Port Phillip City Council,-37.8341,144.9713,Southern Metropolitan,5943.0,Parkade,593000.0
South Melbourne,157 Napier St,3,h,SP,Marshall,3/9/2016,2.1,3205.0,3.0,2.0,1.0,88.0,93,1890.0,Port Phillip City Council,-37.8363,144.9628,Southern Metropolitan,5943.0,Outdoor Stall,1600000.0
Southbank,41/106 Southbank Bvd,3,u,S,VICPROP,3/9/2016,1.2,3006.0,3.0,1.0,1.0,0.0,106,1993.0,Melbourne City Council,-37.8235,144.9655,Southern Metropolitan,8400.0,Carport,720000.0
St Kilda,31/12 Clyde St,1,u,PI,McGrath,3/9/2016,6.1,3182.0,1.0,1.0,1.0,0.0,50,1960.0,Port Phillip City Council,-37.8656,144.9782,Southern Metropolitan,13240.0,Carport,380000.0
Surrey Hills,36 Banool Rd,4,h,S,Marshall,3/9/2016,11.2,3127.0,4.0,3.0,2.0,596.0,264,1930.0,Boroondara City Council,-37.8154,145.0927,Southern Metropolitan,5457.0,Detached Garage,2440000.0
Surrey Hills,112 Croydon Rd,4,h,S,Fletchers,3/9/2016,11.2,3127.0,4.0,3.0,2.0,771.0,312,2000.0,Boroondara City Council,-37.8239,145.0969,Southern Metropolitan,5457.0,Carport,2128000.0
Surrey Hills,226 Union Rd,5,h,VB,RT,3/9/2016,11.2,3127.0,5.0,3.0,2.0,735.0,235,1920.0,Boroondara City Council,-37.8175,145.0987,Southern Metropolitan,5457.0,Attached Garage,2200000.0
Templestowe Lower,3 Waratah Dr,4,h,SP,Zahn,3/9/2016,13.8,3107.0,4.0,2.0,2.0,657.0,221,1978.0,Manningham City Council,-37.7624,145.1175,Eastern Metropolitan,5420.0,Parkade,1201000.0
Viewbank,4 The Glade,3,h,S,Miles,3/9/2016,13.8,3084.0,4.0,2.0,2.0,656.0,183,1990.0,Banyule City Council,-37.7322,145.0995,Eastern Metropolitan,2698.0,Attached Garage,960000.0
West Melbourne,44 Anderson St,3,t,S,Jellis,3/9/2016,1.9,3003.0,3.0,3.0,2.0,0.0,132,1940.0,Melbourne City Council,-37.8048,144.9424,Northern Metropolitan,2230.0,Carport,1010000.0
Williamstown,46 Pasco St,4,h,S,Gunn&Co,3/9/2016,8.0,3016.0,4.0,2.0,1.0,320.0,160,1950.0,Hobsons Bay City Council,-37.8613,144.8988,Western Metropolitan,6380.0,Attached Garage,1400000.0
Williamstown,54 Twyford St,3,h,S,Greg,3/9/2016,8.0,3016.0,3.0,1.0,1.0,507.0,186,1910.0,Hobsons Bay City Council,-37.8681,144.8994,Western Metropolitan,6380.0,Parkade,1535000.0
Windsor,207/152 Peel St,2,u,VB,Jellis,3/9/2016,5.1,3181.0,2.0,2.0,1.0,0.0,78,2012.0,Port Phillip City Council,-37.8558,144.9903,Southern Metropolitan,4380.0,Detached Garage,580000.0
Yarraville,6 Sanderson St,2,h,SP,Village,3/9/2016,7.0,3013.0,3.0,1.0,2.0,471.0,103,1950.0,Maribyrnong City Council,-37.8149,144.8707,Western Metropolitan,6543.0,Indoor,890000.0
Airport West,50 Bedford St,3,h,VB,Nelson,3/12/2016,13.5,3042.0,3.0,2.0,1.0,0.0,145,1965.0,Moonee Valley City Council,-37.7203,144.8755,Western Metropolitan,3464.0,Parking Pad,730000.0
Altona,59 Bracken Gr,5,h,S,Greg,3/12/2016,13.8,3018.0,5.0,3.0,3.0,729.0,268,2005.0,Hobsons Bay City Council,-37.8721,144.8105,Western Metropolitan,5301.0,Carport,1525000.0
Armadale,14/71 Denbigh Rd,3,u,S,Marshall,3/12/2016,6.3,3143.0,3.0,2.0,2.0,0.0,100,1998.0,Stonnington City Council,-37.8552,145.016,Southern Metropolitan,4836.0,Attached Garage,995000.0
Armadale,4/769 High St,3,t,S,Jellis,3/12/2016,6.3,3143.0,3.0,2.0,2.0,101.0,105,2000.0,Stonnington City Council,-37.854,145.0135,Southern Metropolitan,4836.0,Indoor,1205000.0
Armadale,7 Llaneast St,3,h,S,Jellis,3/12/2016,6.3,3143.0,3.0,2.0,2.0,296.0,150,1889.0,Stonnington City Council,-37.8614,145.0274,Southern Metropolitan,4836.0,Outdoor Stall,1939000.0
Ascot Vale,9/5 Rothwell St,2,u,SP,Brad,3/12/2016,5.9,3032.0,2.0,1.0,1.0,0.0,62,1980.0,Moonee Valley City Council,-37.7761,144.9201,Western Metropolitan,6567.0,Attached Garage,467000.0
Ashburton,3/39 Solway St,3,t,S,Fletchers,3/12/2016,11.0,3147.0,3.0,3.0,4.0,310.0,315,2014.0,Boroondara City Council,-37.874,145.0714,Southern Metropolitan,3052.0,Carport,2050000.0
Avondale Heights,157 Canning St,3,t,S,Nelson,3/12/2016,10.5,3034.0,3.0,3.0,1.0,557.0,181,2017.0,Moonee Valley City Council,-37.77,144.8572,Western Metropolitan,4502.0,Indoor,851000.0
Balaclava,7/72 Grosvenor St,2,u,PI,hockingstuart,3/12/2016,6.6,3183.0,2.0,1.0,2.0,0.0,61,1965.0,Port Phillip City Council,-37.8731,144.9958,Southern Metropolitan,2952.0,Carport,410000.0
Balwyn,2/74 Balwyn Rd,3,u,SA,Philip,3/12/2016,9.7,3103.0,3.0,2.0,2.0,206.0,112,1998.0,Boroondara City Council,-37.8161,145.0812,Southern Metropolitan,5682.0,Detached Garage,1070000.0
Balwyn,112 Belmore Rd,5,h,PI,RT,3/12/2016,9.7,3103.0,5.0,3.0,2.0,715.0,420,2009.0,Boroondara City Council,-37.8028,145.0768,Southern Metropolitan,5682.0,Parkade,2570000.0
Balwyn,27 Bevan St,4,h,VB,RW,3/12/2016,9.7,3103.0,4.0,2.0,2.0,744.0,226,1985.0,Boroondara City Council,-37.8147,145.0748,Southern Metropolitan,5682.0,Underground,2400000.0
Balwyn,5/14 Parring Rd,2,u,S,Noel,3/12/2016,9.7,3103.0,2.0,1.0,1.0,122.0,97,1977.0,Boroondara City Council,-37.8124,145.0916,Southern Metropolitan,5682.0,Detached Garage,806000.0
Balwyn North,25 Bolinda Rd,4,h,S,Noel,3/12/2016,9.2,3104.0,4.0,2.0,2.0,647.0,185,1955.0,Boroondara City Council,-37.7917,145.0868,Southern Metropolitan,7809.0,Detached Garage,1905000.0
Balwyn North,3 Dumblane St,5,h,PI,hockingstuart,3/12/2016,9.2,3104.0,5.0,4.0,2.0,760.0,477,2015.0,Boroondara City Council,-37.7907,145.0907,Southern Metropolitan,7809.0,Attached Garage,3300000.0
Balwyn North,36 Kenny St,3,h,S,Marshall,3/12/2016,9.2,3104.0,3.0,1.0,2.0,888.0,137,1950.0,Boroondara City Council,-37.8002,145.0949,Southern Metropolitan,7809.0,Parkade,2251000.0
Balwyn North,13 Riverview Rd,4,h,PI,RW,3/12/2016,9.2,3104.0,4.0,2.0,2.0,750.0,214,1950.0,Boroondara City Council,-37.7906,145.0788,Southern Metropolitan,7809.0,Carport,2205000.0
